unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE15,F,AT11	6.4 u	: bu	: u	5.5 u	: u	: u	5.0 u	: u	4.9 u	5.9 u	5.9 u	5.8 u
PC,Y_GE15,F,AT12	4.9 	4.4 b	4.3 	4.5 	3.7 	4.5 	4.6 	5.1 	5.0 	4.9 	4.6 	4.2 
PC,Y_GE15,F,AT13	8.8 	8.7 b	6.8 	7.5 	7.3 	7.4 	7.8 	8.6 	9.0 	8.8 	9.6 	8.9 
PC,Y_GE15,F,AT21	5.8 	5.1 b	4.3 u	4.7 u	4.4 u	4.5 u	5.1 	5.6 	5.9 	5.8 	5.9 	4.8 
PC,Y_GE15,F,AT22	5.1 	4.6 b	3.9 	4.7 	4.7 	3.6 	4.3 	4.8 	4.9 	4.8 	5.1 	4.1 
PC,Y_GE15,F,AT31	4.1 	4.5 b	3.2 	4.4 	3.7 	3.5 	3.3 	4.3 	4.3 	4.0 	4.3 	3.7 
PC,Y_GE15,F,AT32	4.0 u	3.7 bu	3.1 u	3.7 u	3.7 u	3.2 u	2.9 u	2.8 u	3.3 u	3.4 u	2.9 u	2.8 u
PC,Y_GE15,F,AT33	3.7 u	3.7 b	3.0 u	3.4 u	3.0 u	2.8 u	3.1 u	3.4 	2.8 u	3.0 u	3.5 	3.9 
PC,Y_GE15,F,AT34	6.3 u	5.3 bu	4.9 u	5.7 u	4.7 u	5.0 u	4.6 u	3.4 u	: u	3.7 u	3.5 u	3.5 u
PC,Y_GE15,F,BE10	18.2 	16.9 	16.6 	15.7 	17.9 	15.4 b	16.7 	17.0 	16.1 	15.8 	16.0 	14.7 b
PC,Y_GE15,F,BE21	6.2 	5.6 	4.6 	6.1 	5.8 	5.5 b	4.8 	6.2 	6.2 	5.7 	5.9 	6.6 b
PC,Y_GE15,F,BE22	8.7 	7.5 	5.4 	5.4 	5.3 	5.2 b	5.3 	5.3 	5.2 	4.6 	5.2 	4.6 b
PC,Y_GE15,F,BE23	5.1 	5.4 	3.9 	4.3 	4.8 	3.9 b	4.5 	4.0 	4.2 	4.0 	4.2 	3.6 b
PC,Y_GE15,F,BE24	4.9 	3.5 	3.9 	4.6 	5.0 	3.8 b	4.2 	5.9 	4.8 	4.9 	4.4 	5.1 b
PC,Y_GE15,F,BE25	4.8 	3.6 	3.3 	4.1 	4.5 	3.1 b	3.8 	3.6 	4.1 	3.4 	3.5 	3.5 b
PC,Y_GE15,F,BE31	8.7 	7.9 	6.8 	7.1 	9.0 	7.2 b	7.8 	7.8 	9.2 	7.8 	8.2 	6.6 b
PC,Y_GE15,F,BE32	16.6 	15.8 	13.6 	14.4 	15.1 	12.9 b	12.4 	12.9 	12.3 	12.1 	11.3 	10.9 b
PC,Y_GE15,F,BE33	13.4 	12.4 	11.6 	12.7 	11.5 	9.6 b	9.6 	12.1 	11.3 	12.5 	10.6 	9.5 b
PC,Y_GE15,F,BE34	9.4 u	8.1 u	9.3 u	7.8 u	8.0 u	7.6 bu	7.4 u	8.3 u	9.6 	10.3 	8.9 	6.4 bu
PC,Y_GE15,F,BE35	11.5 	9.8 	10.3 	9.7 	10.8 	7.9 b	7.6 	10.8 	9.2 	10.5 	9.5 	6.4 b
PC,Y_GE15,F,BG31	11.5 	9.3 	6.5 b	7.7 	9.8 b	11.3 b	11.1 	11.6 	11.5 	10.5 	10.5 	10.4 
PC,Y_GE15,F,BG32	14.2 	10.1 	8.4 b	8.2 	10.2 b	11.5 b	11.5 	13.9 	11.7 	9.8 	8.4 	6.0 
PC,Y_GE15,F,BG33	12.5 	12.9 	10.2 b	10.2 	14.1 b	14.5 b	17.2 	16.5 	12.2 	10.9 	10.3 	10.7 
PC,Y_GE15,F,BG34	8.7 	6.8 	6.0 b	7.1 	10.4 b	10.7 b	11.2 	13.1 	12.2 	10.2 	7.8 	6.8 
PC,Y_GE15,F,BG41	6.1 	4.1 	3.0 b	3.9 	6.7 b	6.2 b	7.4 	8.6 	7.6 	5.4 	4.5 	3.2 
PC,Y_GE15,F,BG42	8.5 	6.3 	5.2 b	6.8 	10.7 b	11.9 b	11.7 	12.2 	11.4 	8.9 	6.0 	4.7 
PC,Y_GE15,F,CH01	6.1 	5.8 	4.9 	5.9 	7.8 b	7.9 	6.9 	7.5 	7.7 	7.5 	7.5 	8.2 
PC,Y_GE15,F,CH02	4.5 	5.3 	3.9 	4.2 	4.8 b	4.3 	4.4 	4.3 	4.8 	4.3 	4.6 	4.9 
PC,Y_GE15,F,CH03	4.7 	3.8 	4.0 	5.0 	4.9 b	4.1 	4.2 	4.3 	4.1 	4.3 	5.3 	4.4 
PC,Y_GE15,F,CH04	4.3 	4.1 	3.5 	4.0 	5.0 b	4.0 	4.3 	4.1 	3.7 	4.1 	4.0 	4.2 
PC,Y_GE15,F,CH05	4.2 	3.6 	3.6 	3.9 	4.0 b	4.5 	3.7 	4.4 	4.1 	4.4 	4.2 	3.5 
PC,Y_GE15,F,CH06	3.5 u	3.3 u	3.0 u	3.5 u	3.5 b	2.6 	3.2 	3.4 	4.3 	3.7 	3.3 	3.9 
PC,Y_GE15,F,CH07	6.2 u	5.3 u	5.8 u	5.4 u	6.0 bu	6.5 u	8.2 	8.4 	8.0 	7.5 	7.3 	6.8 
PC,Y_GE15,F,CY00	5.4 	4.6 	4.2 	5.5 b	6.4 	7.6 	11.1 	15.2 	15.1 	14.8 	13.3 	11.3 
PC,Y_GE15,F,CZ01	2.7 	2.8 	2.3 	3.2 	4.1 	3.8 b	3.4 	3.1 	2.7 	3.3 	2.0 	2.1 
PC,Y_GE15,F,CZ02	6.0 	4.0 	3.0 	5.2 	6.3 	6.0 b	5.7 	6.0 	6.1 	4.2 	4.0 	2.7 
PC,Y_GE15,F,CZ03	6.2 	4.9 	4.3 	6.1 	6.6 	6.4 b	6.6 	6.8 	7.4 	5.0 	3.9 	2.6 
PC,Y_GE15,F,CZ04	15.7 	11.4 	8.8 	12.5 	13.5 	10.6 b	12.9 	11.6 	10.4 	8.8 	5.6 	4.3 
PC,Y_GE15,F,CZ05	7.7 	6.3 	5.4 	8.8 	8.7 	7.9 b	9.2 	10.2 	8.1 	6.3 	4.6 	3.7 
PC,Y_GE15,F,CZ06	8.8 	6.6 	5.4 	7.5 	8.1 	8.8 b	8.9 	8.2 	6.9 	5.9 	4.6 	4.2 
PC,Y_GE15,F,CZ07	10.3 	7.5 	6.1 	8.8 	10.6 	9.0 b	9.0 	8.8 	8.4 	6.7 	4.1 	3.4 
PC,Y_GE15,F,CZ08	14.3 	11.3 	10.3 	10.9 	10.9 	11.2 b	10.8 	12.1 	10.2 	9.3 	8.8 	5.7 
PC,Y_GE15,F,DE11	6.8 	5.3 	5.0 	5.6 	5.2 b	3.8 b	3.7 	3.7 	2.9 	3.3 	3.1 	2.9 
PC,Y_GE15,F,DE12	7.3 	6.2 	5.2 	5.3 	5.2 b	4.2 b	3.8 	3.4 	3.1 	3.2 	3.3 	3.3 
PC,Y_GE15,F,DE13	5.8 	5.0 	4.4 	4.2 	4.0 b	2.9 b	2.7 	2.9 	3.0 	2.2 	3.0 	2.7 
PC,Y_GE15,F,DE14	6.5 	5.2 	4.6 	5.1 	4.3 b	3.4 b	3.0 	3.2 	2.5 	2.8 	2.5 	2.0 
PC,Y_GE15,F,DE21	5.4 	4.7 	3.5 	4.0 	3.3 b	2.9 b	2.8 	2.5 	2.4 	2.4 	2.4 	2.0 
PC,Y_GE15,F,DE22	7.5 	5.6 	5.3 	5.1 	3.7 b	3.1 b	3.3 	3.5 	3.0 	2.6 	1.8 	1.7 
PC,Y_GE15,F,DE23	7.2 	5.9 	4.3 	5.1 	4.1 b	3.0 b	3.4 	3.7 	2.3 	2.7 	2.9 	2.0 
PC,Y_GE15,F,DE24	9.8 	8.2 	6.9 	6.8 	6.3 b	4.1 b	2.8 	3.6 	3.9 	3.7 	2.9 	2.8 
PC,Y_GE15,F,DE25	8.2 	7.1 	5.5 	6.7 	5.4 b	4.0 b	3.8 	3.1 	3.3 	3.1 	2.2 	2.2 
PC,Y_GE15,F,DE26	7.1 	6.8 	5.2 	6.0 	5.2 b	3.9 b	4.1 	3.5 	3.5 	3.1 	2.4 	2.1 
PC,Y_GE15,F,DE27	7.0 	5.7 	4.9 	4.7 	4.8 b	4.0 b	3.7 	3.6 	3.3 	3.2 	3.0 	3.2 
PC,Y_GE15,F,DE30	16.9 	14.3 	13.5 	11.6 	11.3 b	10.5 b	9.2 	9.1 	8.5 	8.1 	7.0 	6.4 
PC,Y_GE15,F,DE40	16.1 	14.0 	11.3 	10.3 	9.1 b	8.0 b	8.0 	6.6 	6.6 	5.5 	3.6 	3.6 
PC,Y_GE15,F,DE50	12.7 	9.3 	7.6 	7.0 	5.9 b	6.5 b	5.6 	6.9 	5.7 	4.9 	4.6 	3.3 
PC,Y_GE15,F,DE60	9.3 	8.5 	6.5 	5.8 	6.4 b	5.0 b	4.8 	4.0 	4.7 	3.9 	3.6 	3.8 
PC,Y_GE15,F,DE71	7.9 	7.0 	6.3 	6.1 	5.4 b	4.6 b	4.5 	3.7 	4.2 	4.0 	3.7 	2.8 
PC,Y_GE15,F,DE72	8.4 	7.4 	6.6 	6.5 	5.9 b	5.5 b	5.3 	4.6 	4.2 	3.4 	3.9 	2.9 
PC,Y_GE15,F,DE73	8.4 	8.1 	7.5 	6.3 	6.3 b	4.7 b	3.7 	4.2 	4.3 	2.7 	3.7 	2.3 
PC,Y_GE15,F,DE80	18.7 	17.6 	14.6 	13.0 	10.7 b	9.8 b	10.2 	8.9 	8.6 	7.5 	5.8 	4.7 
PC,Y_GE15,F,DE91	10.3 	9.0 	8.9 	8.1 	6.9 b	6.3 b	4.8 	5.1 	4.7 	4.1 	4.0 	3.7 
PC,Y_GE15,F,DE92	9.9 	8.0 	6.8 	7.0 	6.2 b	6.2 b	5.1 	5.3 	4.7 	4.2 	3.6 	4.0 
PC,Y_GE15,F,DE93	8.9 	7.8 	6.3 	5.4 	5.9 b	5.7 b	4.6 	3.9 	3.6 	3.1 	3.2 	3.0 
PC,Y_GE15,F,DE94	9.5 	7.4 	6.6 	5.8 	5.0 b	4.2 b	3.9 	3.8 	3.6 	4.1 	3.0 	2.6 
PC,Y_GE15,F,DEA1	8.8 	7.8 	7.1 	6.8 	6.5 b	5.7 b	5.7 	5.3 	5.7 	5.1 	3.9 	3.4 
PC,Y_GE15,F,DEA2	8.8 	7.7 	6.9 	6.6 	6.6 b	5.4 b	4.7 	5.1 	4.7 	4.2 	3.3 	3.0 
PC,Y_GE15,F,DEA3	8.7 	7.0 	6.1 	6.5 	5.8 b	4.6 b	4.4 	4.7 	4.1 	3.9 	3.7 	3.1 
PC,Y_GE15,F,DEA4	9.4 	7.9 	7.5 	7.0 	6.1 b	5.4 b	4.6 	4.8 	4.8 	4.2 	3.4 	3.3 
PC,Y_GE15,F,DEA5	10.9 	10.0 	8.8 	8.4 	6.9 b	6.1 b	6.1 	5.7 	5.1 	4.8 	4.3 	3.8 
PC,Y_GE15,F,DEB1	7.8 	6.4 	6.6 	6.5 	5.1 b	4.7 b	3.9 	3.8 	3.8 	3.5 	3.1 	2.7 
PC,Y_GE15,F,DEB2	6.8 	6.3 	5.3 	4.4 	: bu	4.4 b	: u	: u	: u	: u	: u	: u
PC,Y_GE15,F,DEB3	8.5 	5.8 	5.5 	5.5 	5.8 b	5.3 b	4.6 	4.3 	3.7 	3.5 	3.6 	3.4 
PC,Y_GE15,F,DEC0	8.9 	7.1 	6.9 	8.4 	6.1 b	5.4 b	6.3 	5.4 	5.5 	4.4 	4.1 	3.5 
PC,Y_GE15,F,DED2	16.6 	13.4 	11.7 	11.5 	9.7 b	7.9 b	7.5 	6.9 	7.2 	5.4 	4.2 	4.1 
PC,Y_GE15,F,DED4	18.1 	15.7 	13.6 	13.0 	11.2 b	8.9 b	8.2 	8.2 	6.5 	5.1 	4.6 	4.5 
PC,Y_GE15,F,DED5	15.5 	17.0 	13.1 	12.4 	11.2 b	11.0 b	8.9 	8.6 	7.4 	6.7 	5.7 	4.6 
PC,Y_GE15,F,DEE0	18.0 	16.1 	15.5 	13.4 	10.8 b	10.1 b	9.7 	9.2 	8.4 	7.6 	7.2 	6.2 
PC,Y_GE15,F,DEF0	8.9 	8.5 	6.8 	7.0 	5.7 b	5.0 b	4.4 	4.4 	4.2 	3.4 	3.5 	2.8 
PC,Y_GE15,F,DEG0	16.4 	15.0 	12.0 	10.6 	8.9 b	7.4 b	7.7 	6.3 	6.0 	5.8 	5.0 	4.2 
PC,Y_GE15,F,DK01	: 	4.2 	3.5 	5.6 	7.3 	8.3 	8.4 	7.9 	7.4 	6.9 	7.1 b	6.4 b
PC,Y_GE15,F,DK02	: 	3.9 	3.8 	4.5 	5.6 	6.9 	5.9 	6.8 	6.3 	6.2 	6.7 b	5.4 b
PC,Y_GE15,F,DK03	: 	3.9 	3.5 	5.3 	6.3 	7.5 	8.0 	7.7 	6.8 	6.3 	6.7 b	5.9 b
PC,Y_GE15,F,DK04	: 	4.0 	3.8 	5.1 	6.2 	6.6 	6.7 	6.6 	6.7 	6.0 	5.5 b	5.8 b
PC,Y_GE15,F,DK05	: 	5.5 	4.8 	6.3 	6.2 	7.3 	7.9 	6.6 	6.1 	6.5 	7.5 b	5.4 b
PC,Y_GE15,F,EE00	5.6 	3.8 	5.1 	10.3 	14.1 	11.6 	9.1 	8.2 	6.8 	6.1 	6.1 	5.3 
PC,Y_GE15,F,EL30	11.8 	11.2 	8.8 	11.3 b	14.6 	19.9 	27.4 	30.7 	29.5 	27.4 	26.2 	24.8 
PC,Y_GE15,F,EL41	16.6 	14.0 	9.7 u	12.4 bu	14.4 	17.8 	28.5 	27.3 	28.1 	25.1 	26.1 	28.2 
PC,Y_GE15,F,EL42	15.4 	17.9 	12.9 	17.6 b	21.9 	18.7 	20.6 	26.3 	21.2 	16.3 	21.7 	19.2 
PC,Y_GE15,F,EL43	11.4 	8.7 	10.2 	12.4 b	15.2 	19.3 	27.1 	29.7 	27.9 	28.9 	27.6 	21.4 
PC,Y_GE15,F,EL51	16.3 	15.0 	14.5 	15.8 b	18.2 	23.4 	25.1 	28.5 	27.7 	27.7 	27.6 	24.9 
PC,Y_GE15,F,EL52	14.8 	14.2 	13.0 	14.3 b	18.4 	24.8 	30.3 	35.1 	33.2 	30.1 	28.4 	28.2 
PC,Y_GE15,F,EL53	20.3 	18.3 	19.1 	16.8 b	19.6 	28.8 	36.4 	37.8 	34.6 	39.6 	40.4 	37.2 
PC,Y_GE15,F,EL54	15.9 	15.8 	16.4 	16.3 b	17.6 	20.9 	26.8 	31.5 	30.1 	28.9 	29.1 	29.4 
PC,Y_GE15,F,EL61	14.0 	11.6 	12.2 	13.0 b	16.9 	23.0 	30.5 	31.8 	31.9 	32.9 	30.4 	26.0 
PC,Y_GE15,F,EL62	18.2 	14.8 	12.2 	14.1 b	19.0 	18.3 	19.9 	24.7 	27.9 	24.4 	17.4 	21.4 
PC,Y_GE15,F,EL63	16.4 	16.1 	15.9 	15.5 b	16.8 	22.8 	30.4 	34.7 	34.3 	34.1 	38.5 	35.4 
PC,Y_GE15,F,EL64	16.6 	16.5 	14.2 	16.7 b	18.1 	26.3 	36.0 	32.7 	30.8 	32.4 	33.8 	26.7 
PC,Y_GE15,F,EL65	12.2 	11.8 	11.1 	12.9 b	14.0 	17.0 	24.7 	26.9 	28.6 	27.4 	23.7 	21.5 
PC,Y_GE15,F,ES11	11.3 	9.9 	10.2 	13.4 	16.2 	18.1 	20.2 	21.7 	21.7 	20.0 	17.8 	16.4 
PC,Y_GE15,F,ES12	12.3 	10.9 	10.6 	14.3 	16.8 	17.3 	21.8 	24.4 	22.2 	18.6 	16.3 	13.9 
PC,Y_GE15,F,ES13	9.4 	8.0 	8.8 	12.6 	15.0 	14.3 	17.4 	20.8 	18.7 	19.0 	15.5 	13.9 
PC,Y_GE15,F,ES21	9.0 	7.8 	7.8 	11.6 	11.2 	13.0 	15.7 	16.5 	16.1 	14.7 	13.1 	12.2 
PC,Y_GE15,F,ES22	7.0 	6.9 	8.4 	11.9 	12.4 	13.5 	15.5 	18.9 	16.0 	15.2 	14.3 	13.2 
PC,Y_GE15,F,ES23	7.6 u	8.3 	9.9 	12.7 	15.9 	17.9 	22.5 	21.0 	21.2 	16.9 	15.1 	14.9 
PC,Y_GE15,F,ES24	7.9 	7.2 	8.2 	12.6 	15.9 	17.3 	19.8 	22.7 	22.5 	19.9 	17.8 	14.8 
PC,Y_GE15,F,ES30	8.3 	7.8 	9.5 	13.8 	16.1 	16.3 	17.9 	20.3 	19.6 	17.3 	16.5 	13.9 
PC,Y_GE15,F,ES41	12.3 	10.4 	13.4 	16.5 	17.9 	18.4 	22.1 	23.7 	22.7 	21.1 	17.9 	16.6 
PC,Y_GE15,F,ES42	14.7 	11.6 	15.3 	21.4 	24.2 	26.1 	32.3 	33.3 	32.9 	31.3 	28.2 	26.0 
PC,Y_GE15,F,ES43	18.6 	18.5 	21.7 	25.0 	26.3 	27.9 	36.0 	35.9 	33.2 	33.5 	32.4 	30.7 
PC,Y_GE15,F,ES51	8.1 	7.6 	8.7 	15.0 	16.5 	18.4 	21.7 	22.4 	20.0 	19.4 	16.9 	14.4 
PC,Y_GE15,F,ES52	11.0 	11.3 	13.4 	20.5 	22.8 	24.3 	27.0 	29.2 	26.8 	23.8 	22.6 	20.2 
PC,Y_GE15,F,ES53	8.1 	8.7 	10.8 	16.2 	19.3 	21.3 	24.1 	21.9 	18.4 	17.3 	14.4 	12.5 
PC,Y_GE15,F,ES61	17.7 	17.4 	21.2 	26.8 	29.2 	32.0 	35.5 	38.0 	37.3 	34.5 	32.1 	28.6 
PC,Y_GE15,F,ES62	10.8 	9.9 	13.1 	18.5 	22.4 	25.0 	27.4 	29.5 	29.1 	28.4 	23.0 	21.6 
PC,Y_GE15,F,ES63	29.5 u	30.1 u	26.0 u	27.4 u	28.4 u	36.9 	48.0 	43.8 	36.4 	36.5 	32.0 u	29.6 u
PC,Y_GE15,F,ES64	22.0 u	27.6 u	28.6 u	32.1 u	30.3 u	27.3 u	33.4 u	31.7 u	35.4 	40.1 	37.7 	37.5 
PC,Y_GE15,F,ES70	14.6 	12.9 	18.8 	26.5 	27.9 	29.1 	33.3 	33.0 	33.1 	30.6 	28.0 	26.0 
PC,Y_GE15,F,FI19	8.9 	7.5 	7.2 b	8.4 	7.9 	7.9 	7.7 	7.6 	8.0 	9.4 	9.3 	8.9 
PC,Y_GE15,F,FI1B	5.3 	4.7 	4.6 b	5.3 	6.0 	5.4 	6.0 	6.2 	6.5 	7.5 	7.2 	7.8 
PC,Y_GE15,F,FI1C	8.2 	7.0 	7.0 b	8.0 	8.4 	7.6 	6.5 	7.9 	9.2 	9.2 	8.9 	8.0 
PC,Y_GE15,F,FI1D	11.1 	10.6 	8.9 b	9.7 	9.1 	8.4 	8.5 	9.1 	9.1 	10.1 	9.7 	9.2 
PC,Y_GE15,F,FI20	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC,Y_GE15,F,FR10	8.6 	7.7 	6.1 	7.3 	8.5 	7.9 	7.6 	8.2 	9.1 	8.4 	8.9 	8.7 
PC,Y_GE15,F,FRB0	6.5 	6.0 	6.2 	6.7 	6.7 	8.7 	10.7 	10.0 	9.8 	10.4 	10.2 	8.3 
PC,Y_GE15,F,FRC1	10.5 	7.6 	6.4 	7.8 	9.1 	9.6 	8.6 	10.9 	9.8 	8.7 	8.3 	10.2 
PC,Y_GE15,F,FRC2	8.8 	8.8 	9.4 	8.6 	8.1 	8.7 	9.1 	8.6 	8.7 	8.6 	8.0 	6.6 
PC,Y_GE15,F,FRD1	7.9 	7.6 	8.0 	7.4 	8.0 	9.1 	8.9 	8.5 	8.2 	8.4 	8.6 	8.4 
PC,Y_GE15,F,FRD2	9.1 	8.8 	9.8 	10.9 	10.5 	9.7 	9.9 	11.4 	12.4 	9.6 	10.7 	10.5 
PC,Y_GE15,F,FRE1	12.6 	11.1 	11.5 	12.9 	12.8 	13.0 	12.4 	14.3 	12.6 	13.1 	12.4 	11.6 
PC,Y_GE15,F,FRE2	11.5 	9.8 	7.9 	9.9 	11.5 	9.5 	10.9 	12.1 	11.8 	11.5 	11.3 	10.2 
PC,Y_GE15,F,FRF1	6.7 	6.3 	7.1 	8.4 	8.9 	8.2 	7.9 	10.3 	11.3 	8.7 	9.8 	8.7 
PC,Y_GE15,F,FRF2	7.9 	9.0 	8.8 	9.7 	9.2 	10.3 	10.6 	10.9 	11.0 	11.2 	11.1 	9.6 
PC,Y_GE15,F,FRF3	9.2 	7.7 	8.9 	10.7 	9.6 	10.2 	10.9 	12.1 	11.8 	11.4 	10.6 	10.5 
PC,Y_GE15,F,FRG0	7.8 	6.9 	6.8 	8.7 	9.3 	9.0 	9.1 	9.2 	8.7 	8.8 	8.9 	7.1 
PC,Y_GE15,F,FRH0	8.1 	7.5 	5.5 	6.8 	7.7 	7.1 	8.1 	8.5 	7.4 	7.3 	9.6 	7.7 
PC,Y_GE15,F,FRI1	9.8 	7.5 	8.3 	9.0 	9.2 	8.9 	9.6 	8.8 	8.0 	9.8 	10.3 	10.0 
PC,Y_GE15,F,FRI2	6.0 u	7.8 u	6.1 u	6.4 u	6.2 u	7.5 	7.3 	6.7 	8.8 	8.0 	6.9 	5.1 u
PC,Y_GE15,F,FRI3	8.9 	6.9 	7.4 	8.8 	6.4 	7.7 	9.0 	10.5 	11.3 	8.8 	8.6 	10.3 
PC,Y_GE15,F,FRJ1	11.0 	10.2 	9.5 	12.7 	11.7 	12.1 	14.9 	13.1 	12.5 	12.2 	11.5 	12.4 
PC,Y_GE15,F,FRJ2	9.5 	8.3 	6.9 	9.8 	7.8 	8.6 	8.7 	8.1 	9.0 	8.1 	8.5 	7.7 
PC,Y_GE15,F,FRK1	7.2 	8.9 	7.4 	7.8 	7.5 	9.0 	10.5 	9.9 	7.3 	8.0 	7.3 	8.3 
PC,Y_GE15,F,FRK2	8.6 	7.0 	6.8 	8.5 	8.7 	8.6 	8.1 	8.4 	8.4 	9.0 	8.0 	7.4 
PC,Y_GE15,F,FRL0	11.2 	9.7 	7.8 	9.0 	10.2 	10.5 	10.2 	11.0 	9.5 	11.1 	10.4 	9.8 
PC,Y_GE15,F,FRM0	: u	: u	: u	: u	: u	: u	: u	15.3 u	14.1 u	14.1 u	9.4 u	9.3 u
PC,Y_GE15,F,FRY1	29.1 	26.0 	25.5 	26.3 	26.0 	25.8 	25.2 	28.3 	25.6 	25.7 	25.3 	23.5 
PC,Y_GE15,F,FRY2	24.7 	21.6 	24.2 	23.0 	22.2 	22.5 	22.6 	22.8 	19.7 	17.3 	17.6 	19.9 
PC,Y_GE15,F,FRY3	32.7 	25.1 	28.8 	25.9 	24.9 	25.5 	26.1 	26.3 	28.3 	26.6 	25.2 u	24.8 u
PC,Y_GE15,F,FRY4	29.3 	25.8 	26.4 	29.0 	30.0 	31.8 	30.5 	29.7 	25.9 	25.0 	22.5 	22.8 
PC,Y_GE15,F,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	28.9 	30.6 	32.6 	29.5 
PC,Y_GE15,F,HR03	: 	9.8 	11.4 	12.0 	12.4 	13.3 	14.0 	13.9 	17.7 	17.0 	14.1 	11.8 
PC,Y_GE15,F,HR04	: 	12.0 	9.9 	10.1 	12.3 	13.9 	16.9 	18.1 	18.6 	16.9 	13.6 	11.9 
PC,Y_GE15,F,HU10	5.5 	5.2 	5.2 	5.9 	8.3 	8.6 	8.2 	: 	: 	: 	: 	: 
PC,Y_GE15,F,HU11	: 	: 	: 	: 	: 	: 	: 	8.2 	7.0 	5.5 	3.7 	3.1 
PC,Y_GE15,F,HU12	: 	: 	: 	: 	: 	: 	: 	7.9 	6.2 	5.2 	3.5 	2.9 
PC,Y_GE15,F,HU21	6.4 	5.5 	6.1 	9.6 	10.9 	10.3 	10.3 	9.3 	5.7 	5.0 	3.2 	2.5 
PC,Y_GE15,F,HU22	6.5 	6.3 	6.2 	9.2 	8.6 	7.8 	7.2 	7.9 	5.1 	4.2 	3.1 	3.1 
PC,Y_GE15,F,HU23	9.5 	10.2 	9.4 	11.0 	11.3 	13.4 	12.5 	9.0 	7.1 	8.5 	5.8 	6.5 
PC,Y_GE15,F,HU31	11.1 	12.0 	12.3 	13.9 	14.5 	16.2 	15.3 	12.6 	10.3 	8.8 	6.5 	6.3 
PC,Y_GE15,F,HU32	11.6 	10.9 	12.4 	13.9 	14.0 	14.4 	14.4 	15.1 	12.3 	11.0 	9.0 	8.0 
PC,Y_GE15,F,HU33	8.7 	8.4 	8.8 	10.9 	10.7 	10.2 	10.3 	11.0 	8.7 	8.3 	6.0 	4.7 
PC,Y_GE15,F,IE01	5.2 	5.5 b	6.6 	10.0 	11.3 	13.1 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,IE02	3.9 	4.7 b	5.4 	9.3 	11.4 	12.3 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,IE04	: 	: 	: 	: 	: 	: 	13.2 	12.6 	10.6 	8.7 	7.5 	5.5 b
